"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 19 15:58:56 CST 2022","Thu May 19 15:58:56 CST 2022","188","test_case.test_port","test_activity","TestReadActivityRule","","","团长姓名为空","不传团长姓名验证是否能保存"
"passed","Thu May 19 15:58:54 CST 2022","Thu May 19 15:58:54 CST 2022","197","test_case.test_port","test_activity","TestCreateActivity","","","活动名称过长","活动名称过长是否能创建"
"passed","Thu May 19 15:58:54 CST 2022","Thu May 19 15:58:55 CST 2022","191","test_case.test_port","test_activity","TestReadActivityRule","","","活动id为空","不传活动id"
"passed","Thu May 19 15:58:54 CST 2022","Thu May 19 15:58:54 CST 2022","189","test_case.test_port","test_activity","TestCreateActivity","","","活动名称为空","活动名称为空是否能创建"
"failed","Thu May 19 15:58:56 CST 2022","Thu May 19 15:58:56 CST 2022","203","test_case.test_port","test_activity","TestReadActivityRule","","","团长姓名过长","团长姓名过长是否能保存"
"passed","Thu May 19 15:58:55 CST 2022","Thu May 19 15:58:55 CST 2022","195","test_case.test_port","test_activity","TestReadActivityRule","","","书籍信息为空","不传书籍信息验证是否能成功保存"
"passed","Thu May 19 15:58:54 CST 2022","Thu May 19 15:58:54 CST 2022","190","test_case.test_port","test_activity","TestCreateActivity","","","开始时间为空","开始时间为空是否能创建"
"skipped","Thu May 19 15:58:54 CST 2022","Thu May 19 15:58:54 CST 2022","0","test_case.test_port","test_activity","TestCreateActivity","","","正常创建活动","正常创建活动"
